group_id,n_members,count,total_duration_s,median_duration_s,n_sessions,n_machines,share_of_segments,share_of_time,consistency_score,top_app,top_route,member_labels
group_023,1,1,24.0,24.0,1,1,0.0022,0.0023,1.0,OpenWith,#/payroll-items,proc_51_openwith_payroll-items
group_024,1,1,4.0,4.0,1,1,0.0022,0.0004,1.0,Windows Explorer,,proc_53_windows-explorer
group_025,1,1,10.0,10.0,1,1,0.0022,0.0009,1.0,Microsoft Edge,#/dashboard,proc_54_microsoft-edge_dashboard
group_026,1,1,23.0,23.0,1,1,0.0022,0.0022,1.0,Notepad,,proc_55_windows-explorer_onboarding
group_031,1,1,15.0,15.0,1,1,0.0022,0.0014,1.0,OpenWith,#/onboarding,proc_70_openwith_onboarding
group_033,1,1,17.0,17.0,1,1,0.0022,0.0016,1.0,Microsoft Word,#/social-insurance,proc_78_microsoft-word_social-insurance
group_034,1,1,13.0,13.0,1,1,0.0022,0.0012,1.0,procmine-desktop-agent,,proc_79_procmine-desktop-agent
group_035,1,1,16.0,16.0,1,1,0.0022,0.0015,1.0,Microsoft Edge,#/http:/127.0.0.1:5133,proc_80_microsoft-edge_http-127-0-0-1-5133
group_036,1,1,20.0,20.0,1,1,0.0022,0.0019,1.0,Microsoft Edge,#/leave-applications,proc_82_microsoft-edge_leave-applications
group_037,1,1,1.0,1.0,1,1,0.0022,0.0001,1.0,Windows Explorer,,proc_87_windows-explorer
group_038,1,1,20.0,20.0,1,1,0.0022,0.0019,1.0,Microsoft Word,,proc_95_microsoft-word
