label,count,total_duration_s,median_duration_s,mean_duration_s,n_sessions,n_machines,share_of_segments,share_of_time,consistency_score,n_distinct_apps,n_distinct_routes,top_app,top_route
proc_20_microsoft-edge_payroll-items,3,62.0,20.0,20.7,1,1,0.0066,0.0059,0.879,2,2,Microsoft Edge,#/payroll-items
proc_01_microsoft-edge,3,105.0,23.0,35.0,1,1,0.0066,0.0099,0.411,3,0,Microsoft Edge,
proc_34_microsoft-edge_leave-applications,2,66.0,44.0,33.0,2,2,0.0044,0.0062,0.667,2,1,Microsoft Edge,#/leave-applications
proc_28_microsoft-edge_leave-applications,2,66.0,48.0,33.0,2,2,0.0044,0.0062,0.545,2,1,Microsoft Edge,#/leave-applications
proc_88_microsoft-edge_onboarding,2,38.0,22.0,19.0,1,1,0.0044,0.0036,0.842,2,2,Microsoft Edge,#/onboarding
proc_16_microsoft-edge_social-insurance,2,32.0,16.0,16.0,2,2,0.0044,0.003,1.0,3,1,Microsoft Edge,#/social-insurance
proc_86_microsoft-edge_social-insurance,2,63.0,35.0,31.5,1,1,0.0044,0.006,0.889,2,2,Microsoft Edge,#/social-insurance
proc_24_microsoft-edge_onboarding,2,33.0,17.0,16.5,2,2,0.0044,0.0031,0.97,2,1,Microsoft Edge,#/onboarding
proc_36_microsoft-edge_dashboard,2,77.0,67.0,38.5,2,2,0.0044,0.0073,0.26,4,1,Microsoft Edge,#/dashboard
proc_50_microsoft-edge_onboarding,2,46.0,29.0,23.0,2,2,0.0044,0.0044,0.739,2,1,Microsoft Edge,#/onboarding
proc_18_microsoft-edge_leave-applications,2,42.0,22.0,21.0,2,1,0.0044,0.004,0.952,3,2,Microsoft Edge,#/leave-applications
proc_61_microsoft-edge_onboarding,2,40.0,21.0,20.0,2,1,0.0044,0.0038,0.95,2,1,Microsoft Edge,#/onboarding
proc_71_microsoft-edge_dashboard,2,17.0,10.0,8.5,2,1,0.0044,0.0016,0.824,4,1,Microsoft Edge,#/dashboard
proc_98_ms-teams_resident-tax,2,31.0,16.0,15.5,2,1,0.0044,0.0029,0.968,4,7,ms-teams,#/http:/127.0.0.1:5134
proc_27_microsoft-word_leave-applications,2,45.0,23.0,22.5,2,2,0.0044,0.0043,0.978,2,2,Microsoft Word,#/leave-applications
proc_69_microsoft-edge_payroll-items,2,76.0,58.0,38.0,2,1,0.0044,0.0072,0.474,2,1,Microsoft Edge,#/payroll-items
proc_84_notepad,2,41.0,22.0,20.5,2,2,0.0044,0.0039,0.927,1,0,Notepad,
proc_64_windowsterminal_http-127-0-0-1-5132,2,28.0,24.0,14.0,1,1,0.0044,0.0026,0.286,2,7,WindowsTerminal,#/http:/127.0.0.1:5132
